"","APC","EGFR","FBXW7","NTRK3","b.scores"
"458",0,0,0,0,-0.115547309982096
"459",0,1,0,0,-0.115547309982096
"460",0,0,0,0,-0.115547309982096
"461",0,0,0,0,-0.115547309982096
"462",0,0,0,0,-0.115547309982096
"463",0,0,0,0,-0.115547309982096
"464",0,0,0,0,-0.115547309982096
"465",0,0,0,0,-0.115547309982096
"466",0,0,0,0,-0.115547309982096
"467",0,0,0,0,-0.115547309982096
"468",0,1,0,0,-0.115547309982096
"469",0,0,0,0,-0.115547309982096
"470",0,0,0,0,-0.115547309982096
"471",0,0,0,0,-0.115547309982096
"472",0,0,0,0,-0.115547309982096
"473",0,0,0,0,-0.115547309982096
"474",0,0,0,0,-0.115547309982096
"475",0,0,0,0,-0.115547309982096
"476",0,0,0,0,-0.115547309982096
"477",0,0,0,0,-0.115547309982096
"478",0,0,0,0,-0.115547309982096
"479",0,0,0,0,-0.115547309982096
"480",0,0,0,0,-0.115547309982096
"481",0,0,0,0,-0.115547309982096
"482",0,1,0,0,-0.115547309982096
"483",0,0,0,0,-0.115547309982096
"484",0,0,0,0,-0.115547309982096
"485",0,0,0,0,-0.115547309982096
"486",0,0,0,0,-0.115547309982096
"487",0,0,0,0,-0.115547309982096
"488",0,0,0,0,-0.115547309982096
"489",0,0,0,0,-0.115547309982096
"490",0,0,0,0,-0.115547309982096
"491",0,0,0,0,-0.115547309982096
"492",0,0,0,0,-0.115547309982096
"493",0,0,0,0,-0.115547309982096
"494",0,0,0,0,-0.115547309982096
"495",0,0,0,0,-0.115547309982096
"496",0,0,0,0,-0.115547309982096
"497",0,0,0,0,-0.115547309982096
"498",0,0,0,0,-0.115547309982096
"499",0,0,0,0,-0.115547309982096
"500",0,1,0,0,-0.115547309982096
"501",0,0,0,0,-0.115547309982096
"502",0,0,0,0,-0.115547309982096
"503",0,0,0,0,-0.115547309982096
"504",0,0,0,0,-0.115547309982096
"505",0,1,0,0,-0.115547309982096
